Star,JDs,Radial Velocity
163296,18656.780613,-37.359841
163296,18656.787894,-28.878375
163296,18656.795486,-43.897931
163296,18656.802963,-48.417381
163296,18670.889873,-67.096836
163296,18670.897465,-67.11398
163296,18670.904861,-67.130234
163296,18670.912199,-67.1459
163296,18670.919653,-67.161314
163296,18685.810174,-33.850168
163296,18685.814155,-31.859983
163296,18685.818137,-29.869722
163296,18685.82213,-30.879406000000003
163296,18685.826111,-30.888976
163296,18685.830104,-30.39848
163296,18685.834086,-29.907861
