Star,JDs,Radial Velocity
HD36112,18732.026111,19.739908
HD36112,18732.029838,20.233458
HD36112,18732.03375,22.72659
HD36112,18749.837882,18.251478
HD36112,18749.841725,18.249911
HD36112,18749.845856,15.248009999999997
HD36112,18749.849687,18.246049
HD36112,18763.91919,20.959396
HD36112,18763.922616,20.453032
HD36112,18763.926458,20.945784
HD36112,18777.935463,18.084682
HD36112,18777.93941,19.575611000000002
HD36112,18777.943391,21.0664
HD36112,18777.947431,22.056998
HD36112,18777.951424,20.547652
HD36112,18777.955405,22.038288
HD36112,18794.912975,21.572526000000003
HD36112,18794.916979,20.062557
HD36112,18794.920949,18.552644
HD36112,18794.924942,17.042650000000002
HD36112,18794.928912,16.532693
HD36112,18813.7686,19.201519
HD36112,18813.772616,18.193255
HD36112,18813.776586,19.184946
HD36112,18846.933426,21.469293999999998
HD36112,18846.936562,24.463391
