JD,order 38 radial velocity (km/s),order 39 radial velocity (km/s),order 40 radial velocity (km/s)
18732.935139,15.920762,15.420762,17.920762
18732.93912,14.914794,16.414794,19.414794
18732.943125,15.908646000000001,15.908646000000001,16.908646
18732.947106,14.402395000000002,15.902395000000002,18.402395000000002
18748.804769,16.781067,17.781067,17.781067
18748.808785,16.7784,19.2784,19.7784
18748.812708,17.775599999999997,17.275599999999997,15.275599999999997
18762.804734,18.01005,17.51005,19.01005
18762.808704,16.505133,17.505133,20.505133
18762.812674,18.000038,17.000038,15.500038
18777.913808,17.183277999999998,17.183277999999998,18.683277999999998
18777.917743,17.173775000000003,17.173775000000003,20.173775000000003
18777.921748,16.664078,17.164078,20.164078
18777.925718,17.154442,17.154442,18.154442
18795.910926,15.729747999999999,14.229747999999999,19.729748
18813.764144,14.962394,15.962394,20.462394
18859.878009,-38.296054999999996,-7.296054999999999,-22.796055
