JD,order 0 radial velocity (km/s),order 1 radial velocity (km/s),order 4 radial velocity (km/s)
18656.780613,-37.359841,-59.859841,-5.359841
18656.787894,-28.878375,-59.878375,-9.378375
18656.795486,-43.897931,-59.897931,-7.397931
18656.802963,-48.417381,-59.917381,-9.417381
18670.889873,-67.096836,-67.096836,-43.096836
18670.897465,-67.11398,-67.11398,-47.11398
18670.904861,-67.130234,-67.130234,-40.130234
18670.912199,-67.1459,-67.1459,-29.645899999999997
18670.919653,-67.161314,-67.161314,-24.161314
18685.810174,-33.850168,-73.850168,-15.350168
18685.814155,-31.859983,-73.859983,-16.859983
18685.818137,-29.869722,-73.869722,-15.869722
18685.82213,-30.879406000000003,-73.879406,-16.879406000000003
18685.826111,-30.888976,-73.888976,-17.388976
18685.830104,-30.39848,-73.89848,-17.89848
18685.834086,-29.907861,-73.907861,-16.407861
