JD,order 38 radial velocity (km/s),order 39 radial velocity (km/s),order 40 radial velocity (km/s)
18558.968125,-1.7939939999999979,-6.793993999999998,-10.293993999999998
18558.975579,-2.810931,-4.310931,-8.310931
18558.982917,0.17218899999999948,-3.8278110000000005,-11.327811
18559.945833,0.5361330000000031,-2.963866999999997,-7.963866999999997
18559.953241,-0.980044999999997,-3.480044999999997,-6.480044999999997
18559.960741,0.0032750000000021373,-2.496724999999998,-10.496724999999998
18560.94169,-3.181189,-2.181189,-12.681189
18560.949039,-0.19723400000000169,-2.6972340000000017,-4.197234000000002
18560.956424,0.7863480000000003,-0.7136519999999997,-7.713652
18573.954873,4.186961,2.186961,0.18696100000000015
18573.962407,3.168405,0.16840499999999992,-8.331595
18573.969884,-0.850090999999999,-3.350090999999999,-5.350090999999999
18591.840498,-0.39438300000000126,-1.3943830000000013,-4.394383000000001
18591.847801,1.089024000000002,-4.410975999999998,-6.410975999999998
18591.855498,2.071147,-2.928853,-6.428853
18615.828079,5.3625050000000005,-1.6374949999999995,-2.1374949999999995
18615.835498,5.843146,-0.15685400000000005,-3.656854
18615.842975,5.823497000000001,0.8234970000000006,-3.1765029999999994
18653.831134,1.198492,-0.3015080000000001,-9.801508
18653.838519,3.680950000000001,-0.819049999999999,-1.319049999999999
18653.845995,2.663545000000001,-0.8364549999999991,-0.8364549999999991
18684.725926,5.749271,1.2492710000000002,11.749271
18684.729907,0.7399939999999994,-3.2600060000000006,-0.7600060000000006
18684.73228,11.2345,18.2345,-20.2655
