JD,order 4 radial velocity (km/s),order 20 radial velocity (km/s),order 10 radial velocity (km/s)
18691.981562,-37.547794999999994,8.452205000000003,141.952205
18691.985556,-37.548277,9.451723000000001,141.95172300000002
18691.989537,-37.548952,8.951048,141.95104800000001
18691.993519,-37.549822,8.950178000000001,141.950178
18691.997431,-37.550863,7.449137,141.949137
18692.00147,-37.552131,7.947868999999997,141.947869
18692.005475,-37.553580999999994,7.946419000000002,141.946419
18787.06919,-41.181596,8.818403999999997,138.318404
18787.951262,-41.334596000000005,15.165403999999999,138.165404
18787.955243,-41.34415,15.655849999999997,138.15585
18787.959236,-41.353707,15.646293,138.14629300000001
